recipe_name,description,ingredients,instructions,serving_yield,calories_per_serving_kcal,fat_per_serving_g,cholesterol_per_serving_mg,protein_per_serving_g,carbohydrate_per_serving_g,fiber_per_serving_g,sugar_per_serving_g,sodium_per_serving_mg,kalium_per_serving_mg,detail_url,image_url,health_category
Stim Ikan Ala Chinese,Stim ikan menggunakan ikan senangin yang dicampurkan dengan saos ala chinese.,"120 gram ikan, 1/4 hot chili pepper, 1 siung bawang putih, 1/4 mangkok, dicincang daun bawang (loncang), 0,65 g stevia sweetener, 23 g saus tiram, 15 ml kecap asin","Masak saos ala chinese dengan cara pertama oseng bawang putih dan jahe., Tambahkan air secukupnya., Tambahkan kecap asin, Tambahkan saos tiram., Tunggu hingga mendidih., Jika ikan sudah masak siram dengan saos ala chinese., Tunggu hingga mendidih., Stim ikan senangin dengan daun bawang, cabai merah dan cabai hijau di atasnya.",1,134.0,1.27,70.0,23.49,8.14,1.0,1.19,1567.0,552.0,https://www.fatsecret.co.id/resep/51195276-stim-ikan-ala-chinese/Default.aspx,https://m.ftscrt.com/static/recipe/caa2bb8c-4308-47f7-b7ab-6e66cc874508_sq.jpg,Healthy
Bola Ikan Udang Wortel,Hidangan sehat tanpa gula.,"100 gram udang, 102 gram telur (utuh), 77 gram wortel, 1 1/2 sendok kaldu jamur, 5 g lada putih bubuk, 34 gram bawang bombay, 15 ml saus rasa tiram, 300 gram ikan tenggiri","Kupas udang dan buang tulang di tenggiri., Campur semua bahan dalam food processor dan bumbui sesuai keinginan., Buat bola-bola (masing-masing sekitar 25 g)., Masukkan ke dalam kukusan dan masak selama 20 menit.",26,30.0,0.9,31.0,4.08,1.12,0.1,0.22,60.0,75.0,https://www.fatsecret.co.id/resep/59972989-bola-ikan-udang-wortel/Default.aspx,https://m.ftscrt.com/static/recipe/030ed9ca-c7aa-4fb0-aa65-b06fded812c2_sq.jpg,Healthy
Ikan Tongkol Asam Pedas,Hidangan rendah kolesterol menggunakan 5 bahan.,"1 sdm cabai merah atau rawit, 100 gram asam jawa, 1 siung bawang putih, 1 kecil bawang merah, 100 gram ikan tongkol","Rebus tuna dalam air hingga empuk. Tiriskan dan potong., Dalam wajan yang sudah diolesi sedikit minyak, tumis bahan lainnya hingga harum., Tambahkan tuna dan aduk., Didihkan selama 5 menit.",4,100.0,0.63,10.0,7.04,18.39,1.9,15.24,35.0,311.0,https://www.fatsecret.co.id/resep/64283653-ikan-tongkol-asam-pedas/Default.aspx,https://m.ftscrt.com/static/recipe/62115826-a37b-4023-bb93-ca910f630ac2_sq.jpg,Unhealthy
Mie Shirataki Soto,Mie Shirataki sarat dengan rasa dan topping.,"10 gram paprika merah manis, 22 gram cabai merah atau rawit, 39 gram daging dada ayam (ayam pedaging), 13 gram bawang putih, 39 gram sawi putih, 8 gram bawang merah, 80 g mie basah matang, 2 g royco ayam, 3 g lada putih bubuk, 15 g bumbu indomie goreng, 15 g kerupuk seblak, 32 gram jeruk nipis","Haluskan bawang putih, merah, cabai dan tambahkan garam serta lada., Masak ayam dipanggang kasih bumbu bawang putih, merica dan ohaiong. Lalu masak telur gausah pake minyak pake telfon aja., Tambahkan bumbu halus dan tambahkan air jeruk nipis lalu tambahkan sayuran, shirataki, dan paprika. Kemudian tambahkan bumbu Soto Indomie secukupnya. Menyajikan.",1,307.0,12.68,23.0,15.3,34.29,10.7,6.7,759.0,694.0,https://www.fatsecret.co.id/resep/50464500-mie-shirataki-soto/Default.aspx,https://m.ftscrt.com/static/recipe/22959696-0618-40a3-9704-bef5c7ba88f2_sq.jpg,Healthy
Martabak Tofu,Pancake Tofu dengan daun bawang dan wortel.,"1 besar egg, 1 medium carrots, 1 tsp white pepper, 2 sejumput salt, 1/2 sdm oyster sauce, 2 siung garlic, 1 mangkok, dicincang scallions or spring onions, 3/4 block regular tofu (with calcium sulfate), 1 tsp low sodium, dry beef broth, bouillon or consomme,","Hancurkan tahu, parut wortel dan potong daun bawang., Campurkan semua bahan dan telur aduk rata dan tambahkan bumbu-bumbu., Siapkan pan panas lalu kecilkan api dan panggang bertahap.",12,36.0,1.87,18.0,3.17,2.2,0.5,0.49,61.0,83.0,https://www.fatsecret.co.id/resep/47737765-martabak-tofu/Default.aspx,https://m.ftscrt.com/static/recipe/9b634ad8-92e8-49b9-bbb0-0daa12f02d79_sq.jpg,Healthy
Tahu Telur,"Hidangan ini sangat sederhana, namun lezat.","1 besar telur, 1 sdt cabai merah atau rawit, 1 sdm saus tiram, 20 gram sawi, 3 siung bawang putih, 1 daun bawang, 1 kecil utuh tomat merah, 100 gram tahu","Larutkan saus tiram kedalam air setengah gelas, masukkan ke teflon anti lengket., Masukkan cabai, bawang putih dan tahu yang sudah di hancurkan, tunggu hingga bumbu meresap ke tahu., Lalu masukkan tomat, daun bawang, sayuran dan telur., Tambahkan garam jika terlalu hambar, Aduk hingga rata., Selesai, makanan siap disajikan.",1,256.0,10.84,212.0,17.92,25.75,4.5,7.04,602.0,677.0,https://www.fatsecret.co.id/resep/tahu-telur/Default.aspx,https://m.ftscrt.com/static/recipe/36b1655d-cc44-4127-9ff1-b056694316f8_sq.jpg,Healthy
Sup Telur,Sup yang mudah dimasak yang sempurna untuk hari hujan.,"1 besar telur, 1 mangkok, segar sawi dimasak (dari segar), 25 gram kaldu jamur, 1 sdt garam, 25 g sosis ayam, 3 g lada putih bubuk","Kocok telur dan campurkan garam., Didihkan air dan jika air sudah mendidih masukkan telur kocok., Kemudian masukkan sosis dan sawi bersama kaldu dan merica.",1,187.0,10.95,212.0,12.24,10.99,3.6,1.01,3254.0,223.0,https://www.fatsecret.co.id/resep/52572016-sup-telur/Default.aspx,https://m.ftscrt.com/static/recipe/051eed7e-198e-4be3-9de2-397123bddc89_sq.jpg,Unhealthy
Sup Telur,Sup telur pengganti mie.,"2 besar telur, 1 sdm cabai merah atau rawit, 2 siung bawang putih, 20 gram daun bawang, 30 gram bayam, 100 gram sawi putih, 1 gelas air","Masukkan sayuran, bawang putih, cabai dan daun bawang yang sudah dipotong ke dalam panci yang sudah diisi air., Tunggu hingga sayuran lunak, masukkan garam, lada, penyedap rasa., Lalu masukkan telur, aduk aduk hingga blebek blebek., Selesai, hidangan siap disajikan.",1,204.0,11.24,423.0,15.86,11.9,2.6,2.29,187.0,555.0,https://www.fatsecret.co.id/resep/sup-telur/Default.aspx,https://m.ftscrt.com/static/recipe/1cf89613-1054-4330-b60e-3a62985ecafc_sq.jpg,Healthy
Tahu Telur,Hidangan tahu telur sempurna dengan jumlah bahan minimal.,"1 besar telur, 1 siung bawang putih dimasak, 1 sdt garam, 10 gram bayam, 2 gram bawang merah, 100 gram tahu, 2 ml minyak goreng","Hancurkan tahu., Iris kecil-kecil bayam., Campur tahu, bayam dengan telur., Haluskan bawang merah dan bawang putih beserta garam., Tumis bumbu halus., Masukkan adonan tahu dan masak hingga matang.",1,203.0,14.97,212.0,14.7,3.7,0.5,0.96,2413.0,252.0,https://www.fatsecret.co.id/resep/61518413-tahu-telur/Default.aspx,https://m.ftscrt.com/static/recipe/26b7f833-1306-4400-aa9e-073c82593a0e_sq.jpg,Unhealthy
Telur Sutera,Telur kukus dengan sisi jagung dan wortel.,"1 besar telur, 50 gram wortel dimasak, 1 besar putih telur, 1 sdm saus tiram, 1 potong jagung rebus, 1 siung bawang putih, 1 gram daun bawang, 10 gram bawang bombay","Kocok telur dengan irisan daun bawang, dengan menambahkan 100ml air. Masukkan garam dan merica sesuai selera. Lalu kukus., Rebus jagung dan wortel, tumis bawang bombay dan bawang putih dengan 1 sendok olive oil., Masukkan sayuran kedalam tumisan bawang, lalu tambahkan garam, merica dan 1 sendok saus tiram., Yang terakhir koreksi rasa.",1,195.0,6.81,212.0,12.76,22.75,3.6,5.02,774.0,430.0,https://www.fatsecret.co.id/resep/41945484-telur-sutera/Default.aspx,https://m.ftscrt.com/static/recipe/be854e2e-eccc-4c08-9702-b831f1deac1f_sq.jpg,Healthy
Mie Shirataki,Makan siang lezat rendah kalori.,"75 gram udang, 1 telur dadar atau telur orak-arik, 94 gram sawi dimasak (dari segar), 1 sdm saus tiram, 82 gram brokoli, 50 gram kubis, 1 siung bawang putih, 7 gram bawang merah, 1/2 sdm kecap manis, 200 g mie kering shirataki","Cuci mie shirataki basah dan tiriskan., Rebus mie 3menit, sambil potong2 sayuran kemudian cuci bersih., Siapkan teflon anti lengket, tumis bawang merah dan bawang putih sampai harum, masukkan telur lalu orak arik. Masukkan udang kemudian tambahkan sedikit air. Masak hingga udang matang, kemudian masukkan sayur2an., Tambahkan saus tiram dan kecap manis, masukkan mie shirataki. Aduk rata, masak sampai semua matang., Angkat dan sajikan.",1,371.0,11.44,367.0,32.95,36.0,8.1,11.55,1689.0,743.0,https://www.fatsecret.co.id/resep/40356867-mie-shirataki/Default.aspx,https://m.ftscrt.com/static/recipe/efd6cfee-349a-4fbf-a7c3-329f6cab26ff_sq.jpg,Healthy
Seblak Mie Shirataki,Seblak khas bandung,"1 besar telur, 2 gram cabai merah atau rawit, 1 sdt garam, 4 gram bawang putih, 10 gram bawang merah, 2 g kencur, 1 bendak wangi sweetener diabtx, 100 g mie basah matang, 40 gram pakcoy","Blender bawang merah, bawang putih, cengek, kencur/cikur dan air, atau bisa di uleg., Tumis bumbu (di teflon anti lengket) sampai airnya surut, (biar gak pait), terus jangan tambah minyak., Lalu masukan air dan telur, tunggu sampai matang. Bisa tambah daun jeruk biar wangi., Tambah mie shirataki dan pakcoy., Masukan gula tropicana dan garam sesuai selera., Cicipi, tunggu sampai airnya agak surut., Selesai.",1,114.0,5.38,212.0,7.13,11.65,5.0,1.51,2400.0,184.0,https://www.fatsecret.co.id/resep/seblak-mie-shirataki/Default.aspx,https://m.ftscrt.com/static/recipe/083a8e80-4c4a-4ae3-9e80-6b98cbbfe311_sq.jpg,Unhealthy
NasGor Receh,Nasi goreng dan mie shirataki goreng tanpa minyak.,"50 gram nasi putih, 1 sdm cabai merah atau rawit, 1 siung bawang putih, 50 g mie basah matang, 25 g sosis ayam kombinasi","Tumis bawang putih sampai harum., Masukkan cabai yang telah di haluskan., Tambahkan sosis dan mie shirataki., Tambahkan nasi tunggu sampai di rasa sudah cukup matang., Jika suka bisa di tambahkan telur ceplok,telur rebus atau bakso.",1,140.0,4.08,0.0,5.16,22.44,3.7,0.61,355.0,136.0,https://www.fatsecret.co.id/resep/46998501-nasgor-receh/Default.aspx,https://m.ftscrt.com/static/recipe/784c037d-2270-42db-bd24-1ff36231581e_sq.jpg,Healthy
Mentai Shirataki,Shirataki  noddle with mayo.,"3 sdm mayonnaise, 100 g mie kering, 18 ml saus sambal, 64 g crab stick, 3 tbsps sesame oil","Rebus mie shirataki., Campurkan mie shirataki dengan sejumput garam dan minyak wijen., Tata di ramekin, tambahkan crab stick rebus, dan beri mentai., Bakar menggunakan gas torch.",2,352.0,27.76,6.0,2.2,24.27,2.0,4.91,552.0,2.0,https://www.fatsecret.co.id/resep/41100705-mentai-shirataki/Default.aspx,https://m.ftscrt.com/static/recipe/c070cb47-4325-4c25-bcc0-ec46acff2a7d_sq.jpg,Healthy
Japchae Shirataki,Lezzetli şehriye yemeği.,"1 sedang paprika merah manis, 1 sejumput lada hitam, 1 sdt garam, 40 gram wortel, 1 mangkok, dicincang daun bawang (loncang), 1 sdt gula pasir, 1 sdt bawang putih cincang, 1/2 sdm kecap manis, 200 g mie basah matang, 10 g saus tiram, 20 gram jamur kancing, 10 ml pengganti kecap asin, 5,50 ml minyak goreng","Rebua mie shirataki sampe matang., Tumis jamur dan wortel hingga masak, tambahkan garam., Masukan mie yang sudah matang, aduk hingga tercampur., Masukan saus yang sudah dibuat. Masak hingga saus surut., Setelah surut, tambahkan paprika dan daun bawang. Aduk hingga tercampur rata., Mie siap di sajikan.",4,56.0,1.44,0.0,1.6,10.54,3.6,5.06,857.0,199.0,https://www.fatsecret.co.id/resep/50187114-japchae-shirataki/Default.aspx,https://m.ftscrt.com/static/recipe/454f0499-a2bc-469c-8079-d4bbe2abf1d3_sq.jpg,Unhealthy
Mie Shirataki Goreng,Begitu lezat dan mudah dimasak.,"1 sejumput salt, 1 buah utuh portabella mushrooms, 30 gram cherry tomatoes, 3 ml minyak goreng, 1 sdm kecap manis, 75 g mie kering shirataki, 8 g sambal bawang, 45 g dada ayam, 65 g telur omega","Panaskan wajan dengan minyak dan tumis irisan dada ayam dan jamur., Tambahkan telur orak-arik sebelumnya, irisan tomat, dan bahan lainnya, masak hingga matang., Pindahkan ke piring dan sajikan. Menikmati.",2,175.0,5.92,19.0,9.13,19.04,2.8,8.15,439.0,324.0,https://www.fatsecret.co.id/resep/67236434-mie-shirataki-goreng/Default.aspx,https://m.ftscrt.com/static/recipe/abd8c1bf-00db-4577-bef7-37e806f6a641_sq.jpg,Healthy
Nasi Goreng,Makanan sehat.,"92 gram kecambah, 1 sdm minyak wijen, 1 sdm saus tiram, 62 gram kubis, 100 gram wortel, 60 gram nasi merah (butir-sedang, dimasak), 60 gram nasi putih (butir-sedang, dimasak), 2 sdm saus sambal","Tulis wortel selama 1 menit, lalu masukkan gubis tumis kembali., Masukkan nasi, tumis hingga rata lalu masukkan kecambah., Tambahkan saus sambal, saus tiram, minyak wijen.",2,206.0,7.51,0.0,4.09,31.29,3.8,9.22,664.0,323.0,https://www.fatsecret.co.id/resep/nasi-goreng/Default.aspx,https://m.ftscrt.com/static/recipe/5cd27966-6e93-4ebe-a947-e6fee9ccca74_sq.jpg,Unhealthy
Nasi Goreng China,Nasi goreng ala restoran cina.,"1 besar telur, 1 sdm kecap asin (kedelai), 2 mangkok, dimasak nasi putih, 1 sdm margarin, 1 sejumput lada hitam, 1 sdt garam, 1 sdm minyak wijen, 30 gram wortel, 2 siung bawang putih, 3 sedang bawang merah, 20 g sayur toge, 20 g saus tiram, 3 g lada putih bubuk, 100 gram sawi hijau","Panaskan margarin, tumis bawang hingga harum kemudian masukan telur dan sayuran., Masukan nasi putih, aduk2 jangan lupa beri kecap asin, minyak wijen, saos tiram dan garam(opstional ya kalo kurang asin) dan lada., Aduk hingga tercampur rata. Nikmati.",2,450.0,14.27,106.0,14.04,67.2,4.0,8.76,2603.0,532.0,https://www.fatsecret.co.id/resep/43496209-nasi-goreng-china/Default.aspx,https://m.ftscrt.com/static/recipe/d2783c03-6082-46ed-a922-18ddfbef0ffc_sq.jpg,Unhealthy
Nasi Goreng Mentega,"Cepat dan mudah dibuat, disesuaikan dengan campuran favorit anda.","1 besar telur dadar atau telur orak-arik, 1 1/2 mangkok, dimasak nasi putih, 1 siung bawang putih, 100 g mixed vegetables, 27 g margarine","Tumis bawang putih cincang dengan margarine., Masukkan sayur campur dan diikuti dengan nasi., Tambahkan telur, orak arik, dan campur semuanya.",2,344.0,14.91,106.0,8.15,41.13,0.5,2.66,729.0,93.0,https://www.fatsecret.co.id/resep/53044110-nasi-goreng-mentega/Default.aspx,https://m.ftscrt.com/static/recipe/c7d2d6c4-8f2b-411b-9494-2b202d7bffc0_sq.jpg,Healthy
Nasi Goreng Sayuran,"Hidangan yang mengenyangkan, sarat dengan nutrisi.","1 besar telur, 1 mangkok,masak nasi putih, 100 gram wortel, 100 gram selada kol, 1 sdm sambal goreng, 100 gram sawi hijau","Dalam wajan antilengket, kocok telur., Tambahkan nasi dan saus sambal. Mengaduk., Masukkan sayuran dan aduk rata., Bumbui sesuai selera.",1,416.0,8.87,228.0,15.58,70.19,6.0,6.68,943.0,912.0,https://www.fatsecret.co.id/resep/64223429-nasi-goreng-sayuran/Default.aspx,https://m.ftscrt.com/static/recipe/87219099-5033-4aa1-ab15-42c08f893387_sq.jpg,Healthy
Nasi Goreng Spesial (Nasi Merah),"Nasi goreng yang menggunakan nasi merah. Dengan sedikit minyak. Terdapat karbohidrat, serat, vitamin, protein, dan lemak.","2 besar telur, 2 sdt garam, 3 siung bawang putih, 100 gram sayur campuran, 100 gram nasi merah (butir-sedang, dimasak), 3 g lada putih bubuk, 100 gram daging ayam (panggang, bakar, dimasak)","Haluskan bawang putih. Oseng sebentar, lalu masukkan sayuran dan daging ayam rebus., Pecahkan satu telur, buat scramble egg. Lalu masukkan nasi merah., Tambahkan garam dan lada. Campur sampai rata dan matang., Buat satu telur mata sapi. Hidangkan dipiring.",1,509.0,17.59,498.0,43.34,42.35,6.4,4.02,5140.0,648.0,https://www.fatsecret.co.id/resep/nasi-goreng-spesial-(nasi-merah)/Default.aspx,https://m.ftscrt.com/static/recipe/523b5e66-47cc-4d25-9d68-2ea36e9e8905_sq.jpg,Unhealthy
Cauliflower Nasi Goreng,"Pengganti nasi goreng untuk nasi goreng lovers, nasinya diganti kembang kol.","1 irisan tebal chicken breast, 1 besar egg, 1 mangkok chinese cabbage, 3 cups cauliflower, 1 sdt olive oil, 1 mangkok, irisan red onions, 3 sdt minced garlic, 10 ml kecap inggris, 1 sdm kecap manis, 3 g kaldu rasa jamur, 4 1/2 sdt chili","Sangrai di wajan kembang kol sampai berubah warna dan agak kering, lalu sisihkan., Tumis pakai olive oil bawang merah dan bawang putih sampi berubah warna dan harum lalu masukan cabai, ayam, tambahkan air masak sampai ayam matang sempurna lalu masukan telor aduk aduk sampai matang dan tambah kan air sedikit, kecap, kecap asin, kaldu jamur dll masak sampai semua bumbu meresap., Masukan kembanh kol, aduk aduk dengan semua bahan diatas, tambahkan lagi sedikit air dengan tujuan supaya semua rasa meresap kedalam kembang kol, masak sampai kembanh kok agak berubah warna dan rasa tekstur sudah mirip seperti ""nasi"" goreng.",2,184.0,6.56,116.0,11.36,23.66,5.4,7.52,626.0,784.0,https://www.fatsecret.co.id/resep/45151365-cauliflower-nasi-goreng/Default.aspx,https://m.ftscrt.com/static/recipe/16cf7cb1-cfeb-4696-bf81-dbdb98991bee_sq.jpg,Healthy
Tumis Sawi Putih,Hidangan sayuran yang mudah dan lezat.,"1 besar telur, 1 sdt cabai merah atau rawit, 1 sdt garam, 4 siung bawang putih, 200 gram sawi putih, 1 sdt gula pasir, 2 tomat ceri, 1 sdm minyak goreng, 1/4 sdm kecap manis, 2 g royco ayam, 35 gram bawang bombay","Potong Potong Sawi Putih Kemudian Cuci Bersih., Iris tipis2 bawang putih dan bawang bombay, iris serong cabai merah, iris tomat menjadi dua bagian., Panaskan minyak, lalu tumis bawang putih dan bawang bombay. Setelah harum masukkan telur dan orak-arik, tambahkan 250ml air, setelah mendidih tambahkan kol, cabai dan tomat, aduk rata. Tambahkan gula, garam, kecap & royco., Koreksi rasa, tunggu sampai matang.",1,263.0,15.78,212.0,10.08,22.48,1.7,10.46,3083.0,454.0,https://www.fatsecret.co.id/resep/45245098-tumis-sawi-putih/Default.aspx,https://m.ftscrt.com/static/recipe/4e52a80a-d7e5-4054-923a-632ded6781d3_sq.jpg,Unhealthy
Brokoli Bawang Putih,Resep brokoli bawang putih ini sangat mudah dan hanya butuh waktu 10 menit.,"1 sdt garam, 100 gram brokoli, 3 siung bawang putih, 1/2 sdt gula pasir, 5 ml olive oil, 5 g kaldu jamur, 30 g sosis, 6 g saus tiram","Bersihkan brokoli, potong lalu rendam dalam larutan garam 5-10menit., Cincang bawang putih. Goreng bawang putih menggunakan ollive oil sampe kecoklatan, sisihkan., Tumis sedikit bawang putih., Masukan brokoli dan sosis. Tambahkan air kemudian tutup, tunghu sampai brokoli agak layu., Tambahkan saus tiram, gula pasir, garam, dan kaldu jamur., Hidangkan brokoli kemudian siramkan bawang putih goreng diatasnya.",1,190.0,11.67,0.0,8.03,15.3,2.8,5.22,2897.0,352.0,https://www.fatsecret.co.id/resep/57588354-brokoli-bawang-putih/Default.aspx,https://m.ftscrt.com/static/recipe/09ebf138-010f-461b-8857-36d774e90964_sq.jpg,Unhealthy
Tumis Sawi Putih,Tumis sawi putih dengan paprika dan jamur kuping.,"1/4 sedang paprika merah manis, 1 sdt garam, 1/4 sedang paprika hijau, 55 gram sawi putih, 1 sdm minyak kanola, 30 g jamur kuping, 3 g lada putih bubuk, 20 gram bawang bombay","Potong-potong semua bahan termasuk sawi dan jamur kuping., Panaskan minyak., Masukan bawang Bombay dan paprika., Tumis hingga wangi., Masukan jamur., Masukan sawi putih., Masak hingga matang.",1,163.0,13.43,0.0,2.47,8.6,1.4,2.78,2334.0,190.0,https://www.fatsecret.co.id/resep/42968219-tumis-sawi-putih/Default.aspx,https://m.ftscrt.com/static/recipe/d94ad929-9114-4cc0-a9aa-981330df9b33_sq.jpg,Unhealthy
Shirataki Tomato Soup,Sup rendah kalori yang lezat dengan mie.,"1 sedang telur, 1 mangkok, segar sawi dimasak (dari segar), 200 gram tomat, 1 sdt garam, 1 sdm saus teriyaki, 50 gram buncis, 50 gram wortel, 5 siung bawang putih, 5 iris daun bawang, 3 gelas air, 1/2 sdm minyak goreng, 1 sdm kecap manis, 200 g mie basah matang, 2 g royco ayam, 2 chicken nugget","Panaskan minyak ½ sendok masukkan nugget yg dipotong dadu., Masukkan batang sawi, wortel dan buncis tambahkan air 250ml., Sisihkan tumisan ke pinggir wajan lalu masukkan telur, beri garam dan orak arik  bersama sayur., Masukkan irisan tomat, sawi, tambahkan air 500ml masukkan mie shirataki., Tambahkan royko/kaldu ayam, garam, irisan cabe, saus teriyaki dan kecap., Diamkan hingga mendidih., Ready to serving.",3,163.0,6.37,68.0,6.29,21.74,6.1,8.68,1550.0,395.0,https://www.fatsecret.co.id/resep/42669988-shirataki-tomato-soup/Default.aspx,https://m.ftscrt.com/static/recipe/a6235aa8-0fc3-4813-b99a-9a0c93a34218_sq.jpg,Unhealthy
Roti Tawar,"Roti tawar terbuat dari campuran tepung, telur, margarin, gula dan susu bubuk.","1 besar telur, 3 1/2 gram ragi, 1 sejumput garam, 120 ml air, 20 gram gula bubuk, 180 gram tepung terigu putih (semua keperluan), 30 g susu bubuk full cream, 20 gram margarin","Campurkan semua bahan kecuali margarin dan garam., Setelah bahan tercampur, masukan margarin dan aduk hingga semua bahan tercampur dan adonan menjadi kalis., Istirahatkan adonan selama 1 jam, biarkan hingga adonan mengembang 2 kali lipat dari ukuran semula., Panggan adonan menggunakan oven selama 30 menit dengan suhu 180°C., Setelah roti matang, oleskan margarin pada roti selagi hangat., Roti siap disajikan.",8,134.0,3.34,26.0,4.17,21.25,1.4,2.56,61.0,90.0,https://www.fatsecret.co.id/resep/roti-tawar/Default.aspx,https://m.ftscrt.com/static/recipe/134a0c2b-3e5d-4fe3-a74e-f415bc70b9a5_sq.jpg,Healthy
Sandwich,Untuk serapan atau makan malam.,"1 daun sedang selada, 100 gram telur ceplok, 2 lembar roti tawar gandum, 1 sachet saus sambal, 1 slice keju slice","Siap kan bahan., Panggang roti di pan tanpa minyak hingga mencoklat rata., Ceplok telur, tambahkan garam sejumput, kocok telur dan goreng., Susun roti dengan bahan bahan yang sudah disiapkan.",1,467.0,23.82,457.0,20.7,38.12,6.1,4.97,755.0,158.0,https://www.fatsecret.co.id/resep/61943949-sandwich/Default.aspx,https://m.ftscrt.com/static/recipe/6b4d7f9a-b598-4347-aa8e-744550ca847c_sq.jpg,Healthy
Sandwich Telur Dadar,Sarapan atau snack menggunakan 4 bahan.,"1 daun sedang selada, 1 besar telur dadar, 1 utuh sedang tomat merah, 1 lembar roti tawar gandum","Panggang roti dalam wajan antilengket selama satu menit di setiap sisi., Atur telur dadar dan sayuran di dalam roti., Iris dan sajikan.",1,306.0,11.59,217.0,13.63,36.48,7.6,5.77,435.0,373.0,https://www.fatsecret.co.id/resep/66245292-sandwich-telur-dadar/Default.aspx,https://m.ftscrt.com/static/recipe/687f35fe-9dd8-4a41-ab14-216a6bb82647_sq.jpg,Healthy
Setup Roti Gandum,Puding roti kukus.,"30 gram kismis, 1 besar putih telur, 5 gram kacang almond panggang kering (tanpa tambahan garam), 250 ml susu uht full cream (250ml), 6 g sweetener diabtx, 350 g roti gandum","Campur putih telur dengan gula lalu kocok., Campurkan 250ml susu UHT/Low Fat lalu aduk., Potong roti gandum sesuai selera lalu masukan kedalam adonan basah lalu aduk dengan rata., Tuangkan 1/2 adonan kedalam cetakan taburkan kismis sesuai selera., Tuangkan sisa adonan ratakan lalu taburkan kismis & kacang Almond sesuai selera., Kukus 20 menit atau sampai adonan padat (tusuk dengan tusuk gigi untuk test kepadatan).",4,183.0,6.58,4.0,10.4,49.99,7.9,7.06,387.0,179.0,https://www.fatsecret.co.id/resep/50726526-setup-roti-gandum/Default.aspx,https://m.ftscrt.com/static/recipe/4ec0a828-9f7e-4dd6-a837-5936a699d996_sq.jpg,Healthy
Tuna Bruschetta,Sarapan simple yg high protein.,"55 gram tuna dalam air (kalengan), 3 irisan reguler roti multigrain, 30 g corn kernel, 5 g kaldu jamur, 3 g lada putih bubuk, 40 ml squeeze yogurt original, 15 g mozzarella & cheddar","Campurkan tuna, yoghurt, kernel, kaldu jamur dan merica., Oleskan adonan tuna di atas roti multigrain., Letakkan potongan keju diatasnya., Panggang dengan airfryer selama 15 menit.",3,129.0,2.7,6.0,8.67,17.41,1.7,4.25,302.0,115.0,https://www.fatsecret.co.id/resep/56538013-tuna-bruschetta/Default.aspx,https://m.ftscrt.com/static/recipe/bc6eee28-91a3-4f64-86c3-79ad19165612_sq.jpg,Healthy
Toast Avocado,Sarapan atau camilan yang enak dan sederhana.,"1 irisan reguler roti gandum panggang, 1 alpukat, 5 g susu kental manis, 7.5 g mentega, 10 g palm sugar","Panggang roti dengan mentega., Keruk alpukat letakkan diatas roti., Taburi gula palm., Tuang susu kental manis.",1,488.0,37.53,0.0,6.83,39.95,15.0,5.15,216.0,1059.0,https://www.fatsecret.co.id/resep/52168842-toast-avocado/Default.aspx,https://m.ftscrt.com/static/recipe/445eff56-9751-43aa-853f-4b774d8527e9_sq.jpg,Healthy
Sate Mix Ayam dan Jamur,Sate ayam yang kaya rasa dan protein.,"100 gram dada ayam, 30 gram ketumbar, 5 gram cabai merah atau rawit, 1 sdt garam, 3 siung bawang putih, 100 gram jamur tiram, 2 kecil bawang merah, 1 sdm kecap manis, 50 ml air mineral, 100 g saus tiram, 3 g lada putih bubuk","Rebus jamur tiram , setelah itu tiriskan dan suwir sesuai dengan ukuran yang diinginkan., Belender bumbu untuk dipanggang setelah itu di tumis., Marinasi jamur dan dada ayam selama 30 menit., Tusuk jamur tiram dan dada ayam yg sudah di marinasikan pada tusuk sate., Panggang sate jamur dada ayam di teflon anti lengket atau panggangan anti lengket.",1,446.0,9.58,83.0,37.34,55.41,7.1,20.97,5891.0,1212.0,https://www.fatsecret.co.id/resep/47650140-sate-mix-ayam-dan-jamur/Default.aspx,https://m.ftscrt.com/static/recipe/4e100d48-ca1a-42be-aee4-b8591f01dc5b_sq.jpg,Unhealthy
Telor Dadar,"Resep sederhana yang menggunakan bahan-bahan yang sudah jadi di lemari es Anda, ditambah lagi cara memasaknya yang sangat cepat.","1 besar egg, 50 gram chives, 1 sdm, cincang scallions or spring onions, 25 g sosis ayam, 3 g lada putih bubuk, 1 sdm canola oil","Masukkan kucai kedalam teflon yg sudah diminyaki, masak sampai layu., Kocok sosis potong dengan telor, masukkan bumbu dan daun bawang secukupnya., Tuangkan adonan telor ke atas kucai, masak sampai matang.",1,246.0,19.17,212.0,11.04,7.0,1.4,1.44,243.0,232.0,https://www.fatsecret.co.id/resep/53423326-telor-dadar/Default.aspx,https://m.ftscrt.com/static/recipe/4a6ed25b-6543-4346-ba67-b72823d626a5_sq.jpg,Healthy
